customer_id,first_order_date,acquisition_channel,acquisition_cost,region
C001,2026-01-15,organic,0,west
C002,2026-01-22,paid_search,42.50,midwest
C003,2026-02-03,organic,0,east
C004,2026-02-14,email,18.00,south
C005,2026-02-28,paid_search,38.00,west
C006,2026-03-05,paid_search,45.00,east
C007,2026-03-12,email,22.00,midwest
C008,2026-03-19,organic,0,west
C009,2026-03-25,paid_search,41.00,south
C010,2026-04-01,organic,0,east
C011,2026-04-08,organic,0,west
C012,2026-04-15,paid_search,39.00,midwest
C013,2026-04-22,paid_search,44.00,east
C014,2026-04-29,organic,0,south
C015,2026-05-06,email,19.00,west
C016,2026-05-13,paid_search,40.00,east
C017,2026-05-20,organic,0,midwest
C018,2026-05-27,paid_search,37.00,west
C019,2026-06-03,email,21.00,south
C020,2026-06-10,organic,0,east
C021,2026-06-12,paid_search,43.00,west
C022,2026-06-13,organic,0,midwest
C023,2026-06-13,email,20.00,east
C024,2026-06-14,paid_search,46.00,south
C025,2026-06-14,organic,0,west
C026,2026-06-15,paid_search,38.50,east
C027,2026-06-15,organic,0,midwest
C028,2026-06-16,email,17.00,west
C029,2026-06-16,paid_search,44.50,south
C030,2026-06-17,organic,0,east
C031,2026-06-17,organic,0,west
C032,2026-06-18,email,23.00,midwest
C033,2026-06-18,paid_search,41.50,east
C034,2026-06-19,organic,0,south
C035,2026-06-19,paid_search,39.50,west
C036,2026-06-20,organic,0,east
C037,2026-06-20,email,18.50,midwest
C038,2026-06-21,organic,0,west
C039,2026-06-21,paid_search,42.00,south
C040,2026-06-22,organic,0,east
C041,2026-06-23,email,20.50,west
C042,2026-06-23,paid_search,45.50,midwest
C043,2026-06-24,organic,0,east
C044,2026-06-24,organic,0,south
C045,2026-06-25,paid_search,40.50,west
C046,2026-06-25,organic,0,east
C047,2026-06-26,email,19.50,midwest
C048,2026-06-26,paid_search,43.50,west
C049,2026-06-27,organic,0,south
C050,2026-06-27,organic,0,east
C051,2026-06-28,email,21.50,west
C052,2026-06-28,paid_search,38.00,midwest
C053,2026-06-29,organic,0,east
C054,2026-06-29,organic,0,south
C055,2026-06-30,paid_search,40.00,west
C056,2026-06-30,organic,0,east
