order_id,customer_id,order_date,revenue,discount_amount,promo_code_used,channel,status
1001,C001,2026-06-01,320.50,0,0,organic,completed
1002,C002,2026-06-01,145.00,20.00,1,paid_search,completed
1003,C003,2026-06-02,890.00,0,0,organic,completed
1004,C004,2026-06-02,210.00,30.00,1,email,completed
1005,C005,2026-06-03,55.00,0,0,paid_search,completed
1006,C001,2026-06-03,430.00,0,0,organic,completed
1007,C006,2026-06-04,780.00,50.00,1,paid_search,completed
1008,C007,2026-06-04,120.00,0,0,email,completed
1009,C008,2026-06-05,640.00,0,0,organic,completed
1010,C009,2026-06-05,95.00,15.00,1,paid_search,completed
1011,C010,2026-06-06,310.00,0,0,organic,completed
1012,C002,2026-06-06,180.00,25.00,1,email,completed
1013,C011,2026-06-07,520.00,0,0,organic,completed
1014,C012,2026-06-07,75.00,0,0,paid_search,completed
1015,C013,2026-06-08,940.00,60.00,1,paid_search,completed
1016,C014,2026-06-08,260.00,0,0,organic,completed
1017,C015,2026-06-09,415.00,0,0,email,completed
1018,C016,2026-06-09,130.00,20.00,1,paid_search,completed
1019,C017,2026-06-10,700.00,0,0,organic,completed
1020,C018,2026-06-10,85.00,0,0,paid_search,completed
1021,C019,2026-06-11,560.00,40.00,1,email,completed
1022,C020,2026-06-11,195.00,0,0,organic,completed
1023,C003,2026-06-12,830.00,0,0,organic,completed
1024,C021,2026-06-12,110.00,15.00,1,paid_search,completed
1025,C022,2026-06-13,475.00,0,0,organic,completed
1026,C023,2026-06-13,220.00,30.00,1,email,completed
1027,C024,2026-06-14,615.00,0,0,paid_search,completed
1028,C025,2026-06-14,155.00,0,0,organic,completed
1029,C026,2026-06-15,390.00,25.00,1,paid_search,completed
1030,C027,2026-06-15,505.00,0,0,organic,completed
1031,C028,2026-06-16,280.00,0,0,email,completed
1032,C029,2026-06-16,720.00,50.00,1,paid_search,completed
1033,C030,2026-06-17,165.00,0,0,organic,completed
1034,C031,2026-06-17,445.00,0,0,organic,completed
1035,C032,2026-06-18,95.00,10.00,1,email,completed
1036,C033,2026-06-18,810.00,0,0,paid_search,completed
1037,C034,2026-06-19,330.00,0,0,organic,completed
1038,C035,2026-06-19,190.00,20.00,1,paid_search,completed
1039,C036,2026-06-20,575.00,0,0,organic,completed
1040,C037,2026-06-20,240.00,35.00,1,email,completed
1041,C038,2026-06-21,680.00,0,0,organic,completed
1042,C039,2026-06-21,115.00,0,0,paid_search,completed
1043,C040,2026-06-22,425.00,30.00,1,organic,completed
1044,C001,2026-06-22,870.00,0,0,organic,completed
1045,C041,2026-06-23,205.00,0,0,email,completed
1046,C042,2026-06-23,540.00,40.00,1,paid_search,completed
1047,C043,2026-06-24,135.00,0,0,organic,completed
1048,C044,2026-06-24,760.00,0,0,organic,completed
1049,C045,2026-06-25,310.00,25.00,1,paid_search,completed
1050,C046,2026-06-25,490.00,0,0,organic,completed
1051,C047,2026-06-26,175.00,0,0,email,completed
1052,C048,2026-06-26,625.00,45.00,1,paid_search,completed
1053,C049,2026-06-27,285.00,0,0,organic,completed
1054,C050,2026-06-27,915.00,0,0,organic,completed
1055,C051,2026-06-28,140.00,15.00,1,email,completed
1056,C052,2026-06-28,465.00,0,0,paid_search,completed
1057,C053,2026-06-29,320.00,0,0,organic,completed
1058,C054,2026-06-29,595.00,30.00,1,organic,completed
1059,C055,2026-06-30,210.00,0,0,paid_search,completed
1060,C056,2026-06-30,745.00,0,0,organic,completed
